DrugName,CIDs,smiles
170151-24-3,9840545,C1CC2=C(C[C@H]1N3C(=CNC3=S)CN)C=C(C=C2F)F.Cl
171927-40-5,9995890,CC1=C2C(=C3C=C(C=CC3=NC2=NN1)OC)NCCOCCO
172889-26-8,1400,CC1=CC=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C(C)(C)C
172889-27-9,4878,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N
176977-56-3,5311257,COC1=CC=C(C=C1)C2=C(C3=C(O2)C=C(C=C3)OC)C(=O)C4=CC=C(C=C4)C#N
178606-66-1,310360,C1=CC(=CC=C1NC(=O)NC2=CC=C(C=C2)S(=O)(=O)N)F
180083-23-2,3378093,CC1=C(C=CC(=C1)C2=NOC(=N2)C)C3=CC=C(C=C3)C(=O)N4CCC5=CC6=C(C=C54)C7(CCN(CC7)C)CO6
1809249-37-3,121304016,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4
183321-86-0,10317566,COCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCO
185039-99-0,5327916,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)C(=O)O
1869912-40-2,118693658,C[C@@H]1C(=O)N(CCN1CCOC2=CC=C(C=C2)C3CCN(CC3)C4=NN5C(=NN=C5OC)C=C4)C.C1=CC2=C(C=CC(=C2)O)C=C1C(=O)O
193611-72-2,9891303,C1CN(CCN1CC(C(C2=CC=CC=C2)C3=CC=CC=C3)O)C4=CC(=CC=C4)Cl.Cl.Cl
193746-75-7,9863367,COC1=NC=CC(=N1)C2=C(N=CN2C3CCNCC3)C4=CC=C(C=C4)F
1986-47-6,2723716,C1[C@H]([C@@H]1N)C2=CC=CC=C2.Cl
199433-58-4,9810884,C[C@H](C1=CC=C(C=C1)C(=O)NC2=C3C=CNC3=NC=C2)N
1H-Indole-5-carboxamide,14973220,C1=CC2=C(C=CN2)C=C1C(=O)N
"2',3'-Dideoxycytidine 5'-triphosphate",119119,C1C[C@@H](O[C@@H]1COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=CC(=NC2=O)N
"2,4,5-TRIMETHOXYBENZALDEHYDE",20525,COC1=CC(=C(C=C1C=O)OC)OC
"2,6-dimethyl-4-[2-[3-[(2-methylpropan-2-yl)oxy]-3-oxoprop-1-enyl]phenyl]-1,4-dihydropyridine-3,5-dicarboxylic acid diethyl ester",68733,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2C=CC(=O)OC(C)(C)C)C(=O)OCC)C)C
"2-(aminomethyl)-3,5-ditert-butylphenol",10354063,CC(C)(C)C1=CC(=C(C(=C1)O)CN)C(C)(C)C
2-AMINOTHIAZOLE,2155,C1=CSC(=N1)N
2-Cl-IB-Meca,3035850,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)Cl)NCC4=CC(=CC=C4)I)O)O
2-Cyanopyrimidine,2757979,C1=CN=C(N=C1)C#N
2-Deoxy-D-galactopyranose,439804,C1[C@H]([C@H]([C@H](OC1O)CO)O)O
2-Fluoroadenosine,8975,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)F)N
2-Methoxyestradiol,66414,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Nitroimidazole,10701,C1=CN=C(N1)[N+](=O)[O-]
2-amino-5-chloro-3-(2-ethoxy-5-fluorophenyl)-3H-indol-3-ol,53248764,CCOC1=C(C=C(C=C1)F)C2(C3=C(C=CC(=C3)Cl)N=C2N)O
2-iminobiotin,128878,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)N=C(N2)N
2-thiouracil,1269845,C1=CNC(=S)NC1=O
20-HYDROXYECDYSONE,5459840,C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O
200484-11-3,148198,C1=CC(=CC=C1OCCCCCCN=C(NC#N)NC2=CC=NC=C2)Cl
201943-63-7,9819927,C1[C@@H]([C@H]1[C@@](CC2C3=CC=CC=C3OC4=CC=CC=C24)(C(=O)O)N)C(=O)O
20439-47-8,43806,C1CC[C@H]([C@@H](C1)N)N
207679-81-0,9819382,CC(C)N(CC[C@H](C1=CC=CC=C1)C2=C(C=CC(=C2)CO)O)C(C)C
209410-46-8,3038525,C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl
209481-20-9,5312149,CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCNCC4
